"RMS Level";;
Ch1;;
X;Y;
Hz;dBFS;
19.1326530612245;-101.93005622031;
20.0892857142857;-101.329737078452;
21.0459183673469;-100.868145440776;
22.0025510204082;-100.247064865591;
22.9591836734694;-99.6184223444344;
23.9158163265306;-98.8658085719696;
24.8724489795918;-98.112310019096;
25.8290816326531;-97.4579853069988;
26.7857142857143;-96.8250714983024;
27.7423469387755;-96.2404450866904;
28.6989795918367;-95.6234002489543;
29.655612244898;-95.0137524327091;
30.6122448979592;-94.4849658614511;
31.5688775510204;-93.979203650612;
32.5255102040816;-93.4498875901941;
33.4821428571429;-92.9416747152653;
34.4387755102041;-92.4519217463515;
35.3954081632653;-91.9504715675302;
36.3520408163265;-91.4800317499317;
37.3086734693878;-91.0637705493381;
38.265306122449;-90.6222582917887;
39.2219387755102;-90.128268310274;
40.1785714285714;-89.7210886081544;
41.1352040816327;-89.3275423063972;
42.0918367346939;-88.9041664507736;
43.0484693877551;-88.489499772943;
44.0051020408163;-88.1213003618939;
44.9617346938776;-87.7446325082834;
45.9183673469388;-87.3838012126685;
46.875;-87.039005993802;
47.8316326530612;-86.7166228143762;
48.7882653061224;-86.381326232605;
49.7448979591837;-86.0168797480792;
50.7015306122449;-85.6641157587107;
51.6581632653061;-85.3718618365721;
52.6147959183673;-85.068099881272;
53.5714285714286;-84.7317881057618;
54.5280612244898;-84.4056846170163;
55.484693877551;-84.1218916939491;
56.4413265306122;-83.8307043055566;
57.3979591836735;-83.5279904703515;
58.3545918367347;-83.2237542387478;
59.3112244897959;-82.9289573914022;
60.2678571428571;-82.6755991466088;
61.2244897959184;-82.4154227802062;
62.1811224489796;-82.1328726480882;
63.1377551020408;-81.8582967695463;
64.094387755102;-81.6069324981723;
65.0510204081633;-81.363012444772;
66.0076530612245;-81.0811853025941;
66.9642857142857;-80.8279710064364;
67.9209183673469;-80.5811387792529;
68.8775510204082;-80.3410836053663;
69.8341836734694;-80.1230677674217;
70.7908163265306;-79.9082621041703;
71.7474489795918;-79.6694726476095;
72.7040816326531;-79.4287534320344;
73.6607142857143;-79.1881833100769;
74.6173469387755;-78.9482975436497;
75.5739795918367;-78.7178667997941;
76.530612244898;-78.5003281056857;
77.4872448979592;-78.3168353181401;
78.4438775510204;-78.1109562570858;
79.4005102040816;-77.8861239520157;
80.3571428571429;-77.6583662894347;
81.3137755102041;-77.4403155555694;
82.2704081632653;-77.2338037619755;
83.2270408163265;-77.0487178784269;
84.1836734693878;-76.8594877943535;
85.140306122449;-76.664219323595;
86.0969387755102;-76.4646617604579;
87.0535714285714;-76.2733068661837;
88.0102040816327;-76.0929790421329;
88.9668367346939;-75.9042047719011;
