"RMS Level";"RMS Level | Measured 1"
Ch1;
X;Y
Hz;dBFS
4.87012987012987;-58.4212098725148
4.90762536209944;-58.2798052917557
4.94540953464952;-58.1384007109965
4.98348461035335;-57.9969961302373
5.02185282889596;-57.8555915494781
5.06051644720583;-57.714186968719
5.09947773958776;-57.5727823879598
5.13873899785656;-57.4313778072006
5.17830253147188;-57.2899732264415
5.21817066767409;-57.1485686456823
5.25834575162117;-57.0071640649231
5.29883014652662;-56.865759484164
5.3396262337985;-56.7243549034048
5.38073641317952;-56.5829503226456
5.42216310288818;-56.4415457418864
5.46390873976103;-56.3001411611273
5.505975779396;-56.1587365803681
5.54836669629685;-56.0173319996089
5.59108398401872;-55.8759274188498
5.63413015531485;-55.7345228380906
5.67750774228431;-55.5931182573314
5.72121929652102;-55.4517136765723
5.7652673892638;-55.3103090958131
5.80965461154763;-55.1689045150539
5.85438357435606;-55.0274999342947
5.8994569087748;-54.8860953535356
5.94487726614649;-54.7446907727764
5.99064731822663;-54.6032861920172
6.03676975734079;-54.4618816112581
6.08324729654294;-54.3204770304989
6.13008266977506;-54.1790724497397
6.17727863202796;-54.0376678689806
6.22483795950332;-53.8962632882214
6.27276344977699;-53.7548587074622
6.3210579219636;-53.613454126703
6.36972421688232;-53.4720495459439
6.418765197224;-53.3306449651847
6.46818374771959;-53.1892403844255
6.51798277530977;-53.0478358036664
6.56816520931597;-52.9064312229072
6.61873400161271;-52.765026642148
6.66969212680119;-52.6236220613889
6.72104258238428;-52.4822174806297
6.77278838894287;-52.3408128998705
6.82493259031351;-52.1994083191113
6.87747825376748;-52.0580037383522
6.93042847019121;-51.916599157593
6.98378635426809;-51.7751945768338
7.0375550446617;-51.6337899960747
7.0917377042004;-51.4923854153155
7.14633752006344;-51.3509808345563
7.20135770396836;-51.2095762537972
7.25680149235998;-51.068171673038
7.31267214660073;-50.9267670922788
7.36897295316252;-50.7853625115196
7.42570722382006;-50.6439579307605
7.48287829584564;-50.5025533500013
7.54048953220548;-50.3611487692421
7.59854432175751;-50.219744188483
7.65704607945074;-50.0783396077238
7.71599824652612;-49.9369350269646
7.77540429071897;-49.7955304462055
7.83526770646297;-49.6541258654463
7.89559201509569;-49.5127212846871
7.95638076506575;-49.3713167039279
8.01763753214153;-49.2299121231688
8.07936591962155;-49.0885075424096
8.14156955854634;-48.9471029616504
8.20425210791212;-48.8056983808913
8.26741725488599;-48.6642938001321
8.3310687150228;-48.5228892193729
8.39521023248377;-48.3814846386137
8.45984558025665;-48.2400800578546
8.52497856037775;-48.0986754770954
8.59061300415551;-47.9572708963362
8.65675277239591;-47.8158663155771
8.72340175562955;-47.6744617348179
8.79056387434053;-47.5330571540587
8.85824307919705;-47.3916525732996
8.92644335128378;-47.2502479925404
8.99516870233606;-47.1088434117812
9.06442317497591;-46.9674388310221
9.13421084294975;-46.8260342502629
9.20453581136811;-46.6846296695037
9.27540221694707;-46.5432250887445
9.34681422825157;-46.4018205079854
9.41877604594066;-46.2604159272262
9.49129190301458;-46.119011346467
9.56436606506375;-45.9776067657079
9.63800283051967;-45.8362021849487
9.71220653090782;-45.6947976041895
9.78698153110237;-45.5524042932614
9.86233222958303;-45.4094150368241
9.9382630586937;-45.2664257803868
10.0147784849032;-45.1234365239495
10.0918830090682;-44.9804472675122
10.1695811666974;-44.837458011075
10.2478775282192;-44.6944687546377
10.3267766992498;-44.5514794982004
10.4062833208644;-44.4084902417631
10.4864020698702;-44.2655009853259
10.5671376590815;-44.1225117288886
10.6484948375969;-43.9795224724513
10.7304783910787;-43.836533216014
10.8130931420344;-43.6935439595767
10.8963439501001;-43.5505547031395
10.9802357123269;-43.4075654467022
11.0647733634686;-43.2645761902649
11.1499618762718;-43.1215869338276
11.235806261769;-42.9785976773903
11.3223115695728;-42.8356084209531
11.4094828881731;-42.6926191645158
11.4973253452365;-42.5496299080785
11.5858441079081;-42.4066406516412
11.675044383115;-42.263651395204
11.7649314178728;-42.1206621387667
11.8555104995945;-41.9776728823294
11.9467869564009;-41.8346836258921
12.0387661574348;-41.6916943694548
12.1314535131763;-41.5487051130176
12.2248544757609;-41.4057158565803
12.318974539301;-41.262726600143
12.4138192402082;-41.1197373437057
12.5093941575195;-40.9767480872684
12.6057049132253;-40.8337588308312
12.7027571726001;-40.6907695743939
12.8005566445357;-40.5477803179566
12.8991090818773;-40.4047910615193
12.9984202817614;-40.2618018050821
13.0984960859574;-40.1188125486448
13.1993423812105;-39.9758232922075
13.3009650995889;-39.8328340357702
13.4033702188318;-39.6898447793329
13.5065637627018;-39.5468555228957
13.6105518013385;-39.4038662664584
13.7153404516163;-39.2608770100211
13.8209358775037;-39.1178877535838
13.9273442904262;-38.9748984971465
14.0345719496314;-38.8319092407093
14.1426251625573;-38.688919984272
14.2515102852033;-38.5459307278347
14.3612337225044;-38.4029414713974
14.4718019287072;-38.2599522149601
14.5832214077505;-38.1169629585229
14.6954987136471;-37.9749413627603
14.8086404508698;-37.8332298471458
14.9226532747395;-37.6915183315312
15.0375438918172;-37.5498068159167
15.153319060298;-37.4080953003021
15.269985590409;-37.2663837846876
15.3875503448096;-37.124672269073
15.5060202389953;-36.9829607534585
15.6254022417048;-36.8412492378439
15.7457033753293;-36.6995377222294
15.8669307163261;-36.5578262066149
15.9890913956346;-36.4161146910003
16.1121925990959;-36.2744031753858
16.2362415678754;-36.1326916597712
16.3612455988886;-35.9909801441567
16.4872120452308;-35.8492686285421
16.6141483166092;-35.7075571129276
16.7420618797787;-35.5658455973131
16.8709602589816;-35.4241340816985
