"RMS Level";"RMS Level | Measured 1"
Ch1;
X;Y
Hz;dBFS
9.74025974025974;-124.623515863118
9.80808724404379;-124.492714850068
9.87638707304219;-124.361913837018
9.94516251635;-124.231112823967
10.0144168859663;-124.100311810917
10.0841535169537;-123.969510797867
10.1543757675989;-123.838709784816
10.2250870195746;-123.707908771766
10.2962906781018;-123.577107758716
10.3679901721147;-123.446306745665
10.440188954425;-123.315505732615
10.5128905018884;-123.184704719565
10.5860983155723;-123.053903706514
10.6598159209243;-122.923102693464
10.7340468679416;-122.792301680414
10.8087947313424;-122.661500667363
10.884063110738;-122.530699654313
10.9598556308058;-122.399898641263
11.0361759414643;-122.269097628213
11.1130277180486;-122.138296615162
11.1904146614873;-122.007495602112
11.2683404984811;-121.876694589062
11.346808981682;-121.745893576011
11.4258238898739;-121.615092562961
11.5053890281549;-121.484291549911
11.5855082281202;-121.35349053686
11.666185348047;-121.22268952381
11.74742427308;-121.09188851076
11.8292289154184;-120.961087497709
11.9116032145047;-120.830286484659
11.9945511372143;-120.699485471609
12.0780766780461;-120.568684458558
12.1621838593154;-120.437883445508
12.2468767313474;-120.307082432458
12.3321593726721;-120.176281419407
12.418035890221;-120.045480406357
12.5045104195247;-119.914679393307
12.591587124912;-119.783878380256
12.6792701997105;-119.653077367206
12.7675638664487;-119.522276354156
12.8564723770591;-119.391475341105
12.946000013083;-119.260674328055
13.0361510858769;-119.129873315005
13.1269299368199;-118.999072301954
13.2183409375227;-118.868271288904
13.3103884900385;-118.737470275854
13.4030770270745;-118.606669262803
13.4964110122057;-118.475868249753
13.5903949400899;-118.345067236703
13.6850333366837;-118.214266223652
13.7803307594611;-118.083465210602
13.8762917976324;-117.952664197552
13.9729210723654;-117.821863184501
14.0702232370081;-117.691062171451
14.1682029773128;-117.560261158401
14.2668650116613;-117.429460145351
14.3662140912927;-117.2986591323
14.4662550005317;-117.16785811925
14.5669925570194;-117.0370571062
14.6684316119452;-116.909351094315
14.7705770502802;-116.783967207964
14.8734337910126;-116.658583321614
14.9770067873848;-116.533199435263
15.0813010271314;-116.407815548913
15.18632153272;-116.282431662562
15.2920733615926;-116.157047776212
15.3985616064093;-116.031663889861
15.5057913952938;-115.906280003511
15.6137678920798;-115.78089611716
15.7224962965602;-115.65551223081
15.8319818447373;-115.530128344459
15.9422298090749;-115.404744458109
16.0532454987522;-115.279360571758
16.1650342599197;-115.153976685408
16.2776014759563;-115.028592799057
16.3909525677287;-114.903208912707
16.5050929938528;-114.777825026356
16.6200282509558;-114.652441140006
16.7357638739416;-114.527057253655
16.8523054362571;-114.401673367305
16.9696585501605;-114.276289480954
17.0878288669918;-114.150905594604
17.2068220774445;-114.025521708253
17.3266439118403;-113.900137821903
17.4473001404045;-113.774753935552
17.5687965735441;-113.649370049202
17.6911390621277;-113.523986162851
17.8143334977669;-113.398602276501
17.9383858131005;-113.27321839015
18.0633019820799;-113.1478345038
18.1890880202569;-113.022450617449
18.3157499850732;-112.897066731099
18.4432939761524;-112.771682844748
18.5717261355934;-112.646298958398
18.7010526482666;-112.520915072047
18.8312797421112;-112.395531185697
18.9624136884358;-112.270147299346
19.0944608022197;-112.144763412996
19.2274274424176;-112.019379526645
19.3613200122654;-111.893995640295
19.4961449595887;-111.764408834243
19.6319087771136;-111.602648529532
19.7686180027787;-111.440888224821
19.9062792200506;-111.27912792011
20.0448990582407;-111.117367615399
20.1844841928243;-110.955607310688
20.3250413457624;-110.793847005977
20.4665772858249;-110.632086701266
20.6090988289171;-110.470326396554
20.7526128384077;-110.308566091843
20.8971262254592;-110.146805787132
21.0426459493609;-109.985045482421
21.1891790178639;-109.82328517771
21.3367324875188;-109.661524872999
21.4853134640152;-109.499764568288
21.6349291025242;-109.338004263577
21.7855866080426;-109.176243958866
21.9372932357404;-109.014483654154
22.0900562913095;-108.852723349443
22.2438831313162;-108.690963044732
22.3987811635551;-108.529202740021
22.5547578474057;-108.36744243531
22.711820694192;-108.205682130599
22.869977267544;-108.043921825888
23.029235183762;-107.882161521177
23.1896021121832;-107.720401216466
23.3510857755514;-107.558640911754
23.5136939503885;-107.396880607043
23.6774344673693;-107.235120302332
23.8423152116983;-107.073359997621
24.0083441234898;-106.91159969291
24.17552919815;-106.749839388199
24.343878486762;-106.588079083488
24.5134000964738;-106.444538994918
24.6841021908883;-106.301759551871
24.8559929904568;-106.158980108824
25.0290807728748;-106.016200665777
25.2033738734804;-105.87342122273
25.3788806856559;-105.730641779683
25.555609661232;-105.587862336635
25.7335693108948;-105.445082893588
25.9127682045955;-105.302303450541
26.0932149719633;-105.159524007494
26.2749183027209;-105.016744564447
26.4578869471028;-104.8739651214
26.6421297162771;-104.731185678353
26.8276554827695;-104.588406235305
27.0144731808904;-104.445626792258
27.2025918071655;-104.302847349211
27.3920204207692;-104.160067906164
27.5827681439601;-104.017288463117
27.7748441625211;-103.87450902007
27.9682577262013;-103.731729577023
28.1630181491618;-103.588950133976
28.3591348104236;-103.446170690928
28.55661715432;-103.303391247881
28.755474690951;-103.160611804834
28.9557169966414;-103.017832361787
29.1573537144018;-102.87505291874
29.3603945543932;-102.74360985762
29.5648492943945;-102.617334677569
29.7707277802732;-102.491059497519
29.9780399264601;-102.364784317469
30.1867957164259;-102.238509137419
30.3970052031628;-102.112233957369
30.6086785096682;-101.985958777318
30.821825829432;-101.859683597268
31.0364574269279;-101.733408417218
31.2525836381076;-101.607133237168
31.4702148708984;-101.480858057117
31.6893616057044;-101.354582877067
31.9100343959116;-101.228307697017
32.1322438683953;-101.102032516967
